machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
cenva;2048;128;128;1;max;task;51;;unlabelled;50;456113
cenva;2048;128;128;1;max;task;51;;unlabelled;50;453153
cenva;2048;128;128;1;max;task;51;;unlabelled;50;459438
cenva;2048;128;128;1;max;task;51;;unlabelled;50;455471
cenva;2048;128;128;1;max;task;51;;unlabelled;50;461097
cenva;2048;128;128;1;max;task;51;;unlabelled;50;451851
cenva;2048;128;128;1;max;task;51;;unlabelled;50;470298
cenva;2048;128;128;1;max;task;51;;unlabelled;50;455866
cenva;2048;128;128;1;max;task;51;;unlabelled;50;446518
cenva;2048;128;128;1;max;task;51;;unlabelled;50;463599
cenva;2048;64;64;1;max;task;51;;unlabelled;50;496025
cenva;2048;64;64;1;max;task;51;;unlabelled;50;480774
cenva;2048;64;64;1;max;task;51;;unlabelled;50;479571
cenva;2048;64;64;1;max;task;51;;unlabelled;50;476284
cenva;2048;64;64;1;max;task;51;;unlabelled;50;495256
cenva;2048;64;64;1;max;task;51;;unlabelled;50;482432
cenva;2048;64;64;1;max;task;51;;unlabelled;50;498556
cenva;2048;64;64;1;max;task;51;;unlabelled;50;486043
cenva;2048;64;64;1;max;task;51;;unlabelled;50;495121
cenva;2048;64;64;1;max;task;51;;unlabelled;50;546200
cenva;2048;32;32;1;max;task;51;;unlabelled;50;613245
cenva;2048;32;32;1;max;task;51;;unlabelled;50;582952
cenva;2048;32;32;1;max;task;51;;unlabelled;50;592364
cenva;2048;32;32;1;max;task;51;;unlabelled;50;617967
cenva;2048;32;32;1;max;task;51;;unlabelled;50;590075
cenva;2048;32;32;1;max;task;51;;unlabelled;50;596548
cenva;2048;32;32;1;max;task;51;;unlabelled;50;602702
cenva;2048;32;32;1;max;task;51;;unlabelled;50;673872
cenva;2048;32;32;1;max;task;51;;unlabelled;50;635480
cenva;2048;32;32;1;max;task;51;;unlabelled;50;606301
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1057845
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1071379
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1026347
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1081807
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1037545
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1104571
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1137326
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1027530
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1054868
cenva;2048;128;128;1;max;task;126;;unlabelled;125;1117104
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1064559
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1095366
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1131389
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1177580
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1104801
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1099472
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1086243
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1040938
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1080748
cenva;2048;64;64;1;max;task;126;;unlabelled;125;1066195
cenva;2048;32;32;1;max;task;126;;unlabelled;125;1299337
cenva;2048;32;32;1;max;task;126;;unlabelled;125;1305143
cenva;2048;32;32;1;max;task;126;;unlabelled;125;1328642
cenva;2048;32;32;1;max;task;126;;unlabelled;125;1305582
cenva;2048;32;32;1;max;task;126;;unlabelled;125;1298724
