machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;places;label;arg;time
cenva;2048;128;128;1;max;task;51;;cores;;50;461084
cenva;2048;64;64;1;max;task;51;;cores;;50;472849
cenva;2048;32;32;1;max;task;51;;cores;;50;579022
cenva;2048;128;128;1;max;task;126;;cores;;125;1045544
cenva;2048;64;64;1;max;task;126;;cores;;125;1076837
cenva;2048;32;32;1;max;task;126;;cores;;125;1301410
cenva;2048;128;128;1;max;task;247;;cores;;250;1917348
cenva;2048;64;64;1;max;task;247;;cores;;250;1948812
cenva;2048;32;32;1;max;task;247;;cores;;250;2487429
cenva;2048;128;128;1;max;ordered;51;;cores;;50;410041
cenva;2048;64;64;1;max;ordered;51;;cores;;50;419294
cenva;2048;32;32;1;max;ordered;51;;cores;;50;402083
cenva;2048;128;128;1;max;ordered;126;;cores;;125;931044
cenva;2048;64;64;1;max;ordered;126;;cores;;125;926232
cenva;2048;32;32;1;max;ordered;126;;cores;;125;873814
cenva;2048;128;128;1;max;ordered;247;;cores;;250;1755719
cenva;2048;64;64;1;max;ordered;247;;cores;;250;1774298
cenva;2048;32;32;1;max;ordered;247;;cores;;250;1660487
cenva;2048;128;128;2;max;task;51;;cores;;50;246746
cenva;2048;64;64;2;max;task;51;;cores;;50;265771
cenva;2048;32;32;2;max;task;51;;cores;;50;425897
cenva;2048;128;128;2;max;task;126;;cores;;125;565567
cenva;2048;64;64;2;max;task;126;;cores;;125;596715
cenva;2048;32;32;2;max;task;126;;cores;;125;949897
cenva;2048;128;128;2;max;task;247;;cores;;250;1064746
cenva;2048;64;64;2;max;task;247;;cores;;250;1122740
cenva;2048;32;32;2;max;task;247;;cores;;250;1891253
cenva;2048;128;128;2;max;ordered;51;;cores;;50;411163
cenva;2048;64;64;2;max;ordered;51;;cores;;50;420408
cenva;2048;32;32;2;max;ordered;51;;cores;;50;402428
cenva;2048;128;128;2;max;ordered;126;;cores;;125;928098
cenva;2048;64;64;2;max;ordered;126;;cores;;125;943151
cenva;2048;32;32;2;max;ordered;126;;cores;;125;875417
cenva;2048;128;128;2;max;ordered;247;;cores;;250;1756295
cenva;2048;64;64;2;max;ordered;247;;cores;;250;1772005
cenva;2048;32;32;2;max;ordered;247;;cores;;250;1666537
cenva;2048;128;128;4;max;task;51;;cores;;50;136256
cenva;2048;64;64;4;max;task;51;;cores;;50;144429
cenva;2048;32;32;4;max;task;51;;cores;;50;231199
cenva;2048;128;128;4;max;task;126;;cores;;125;303280
cenva;2048;64;64;4;max;task;126;;cores;;125;318968
cenva;2048;32;32;4;max;task;126;;cores;;125;542149
